下がる	さがる
気をつける	きをつける
可能	かのう
支える	ささえる
非常	ひじょう
一歩	いっぽ
最も	もっとも
確かめる	たしかめる
乗せる	のせる
お話	おはなし
常に	つねに
通じる	つうじる
得意	とくい
二度と	にどと
関わる	かかわる
あんなに	あんなに
成長	せいちょう
遅れる	おくれる
本来	ほんらい
きり	きり
注意	ちゅうい
夏	なつ
取れる	とれる
計画	けいかく
直す	なおす
問う	とう
役	やく
その日	そのひ
にしても	にしても
解決	かいけつ
扱う	あつかう
重ねる	かさねる
ものがある	ものがある
混乱	こんらん
案内	あんない
寒い	さむい
罪	つみ
事態	じたい
行為	こうい
とともに	とともに
に向けて	にむけて
いつまでも	いつまでも
中心	ちゅうしん
条件	じょうけん
屋	や
左	ひだり
型	かた
展開	てんかい
残り	のこり
量	りょう
その中	そのなか
一切	いっさい
迷惑	めいわく
古い	ふるい
結ぶ	むすぶ
別れる	わかれる
というより	というより
抑える	おさえる
といい	といい
番	ばん
楽しみ	たのしみ
日々	ひび
年	とし
間	かん
気	げ
下	もと
間違い	まちがい
なお	なお
その人	そのひと
頼る	たよる
目立つ	めだつ
苦労	くろう
ごと	ごと
信用	しんよう
唯一	ゆいいつ
寄る	よる
減る	へる
間に合う	まにあう
到着	とうちゃく
面	めん
差	さ
時には	ときには
価値	かち
対応	たいおう
額	がく
含む	ふくむ
まとめる	まとめる
すべき	すべき
有名	ゆうめい
反対	はんたい
安全	あんぜん
でる	でる
ついてる	ついてる
ぶり	ぶり
午後	ごご
切れる	きれる
活動	かつどう
時期	じき
際	さい
正確	せいかく
以来	いらい
大きくなる	おおきくなる
完成	かんせい
なり	なり
貸す	かす
新	しん
たった	たった
降る	ふる
最後まで	さいごまで
狭い	せまい
出かける	でかける
至る	いたる
でもある	でもある
一生	いっしょう
信頼	しんらい
不満	ふまん
といえば	といえば
全体	ぜんたい
よる	よる
病気	びょうき
複雑	ふくざつ
代	だい
含める	ふくめる
違い	ちがい
ほか	ほか
育てる	そだてる
ままに	ままに
少しでも	すこしでも
にくい	にくい
保つ	たもつ
回	かい
通す	とおす
役に立つ	やくにたつ
学ぶ	まなぶ
このよう	このよう
比べる	くらべる
限る	かぎる
対象	たいしょう
度	ど
そのうち	そのうち
世の中	よのなか
加える	くわえる
亡くなる	なくなる
最大	さいだい
人気	にんき
及ぶ	およぶ
